Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00076,27457.8,21600s (~6 hours),12600s (~3.5 hours),5400s (~1.5 hours)
00077,30592.05,27000s (~7.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00078,39344.8,16200s (~4.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00079,43272.35,23400s (~6.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00080,59815.7,30600s (~8.5 hours),25200s (~7 hours),10800s (~3 hours)
00081,36758.9,21600s (~6 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00082,40799.7,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00083,41829.3,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00084,57285.3,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
00085,40625.25,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00086,43347,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00087,67919.15,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00088,63815.75,28800s (~8 hours),27000s (~7.5 hours),9000s (~2.5 hours)
00089,46343.5,23400s (~6.5 hours),21600s (~6 hours),1800s (~30 minutes)
00090,55637.85,25200s (~7 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00091,46182.4,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00092,67176,21600s (~6 hours),21600s (~6 hours),9000s (~2.5 hours)
00093,35357.45,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00094,29363.35,21600s (~6 hours),14400s (~4 hours),1800s (~30 minutes)
00095,61395.5,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00096,35622.8,16200s (~4.5 hours),12600s (~3.5 hours),9000s (~2.5 hours)
00097,39000.5,25200s (~7 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00098,44623.05,28800s (~8 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00099,44343.55,19800s (~5.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00100,47611.75,21600s (~6 hours),16200s (~4.5 hours),10800s (~3 hours)
00101,54958.65,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00102,59513.29999999999,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00103,64654.9,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00104,54136.5,28800s (~8 hours),19800s (~5.5 hours),7200s (~2 hours)
00105,39319.55,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00106,55751.95,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00107,43894.1,27000s (~7.5 hours),19800s (~5.5 hours),3600s (~1 hours)
00108,46241.95,30600s (~8.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00109,41319.5,19800s (~5.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00110,34732.5,19800s (~5.5 hours),18000s (~5 hours),3600s (~1 hours)
00111,26683.3,25200s (~7 hours),18000s (~5 hours),1800s (~30 minutes)
00112,50543.9,23400s (~6.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00113,42111.55,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00114,63287.29999999999,27000s (~7.5 hours),23400s (~6.5 hours),10800s (~3 hours)
00115,65872.95,23400s (~6.5 hours),19800s (~5.5 hours),12600s (~3.5 hours)
00116,57060.7,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
00117,40522.65,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00118,47400.5,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00119,55186.2,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00120,31863.25,23400s (~6.5 hours),18000s (~5 hours),1800s (~30 minutes)
00121,42407.5,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00122,44127.9,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00123,41708.29999999999,23400s (~6.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00124,56314.35,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00125,39863.85,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
