Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0076,60170.6,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
0077,48335.25,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
0078,30060.05,21600s (~6 hours),14400s (~4 hours),3600s (~1 hours)
0079,54677.04999999999,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
0080,40157.35,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0081,41259.2,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0082,51820.15,21600s (~6 hours),21600s (~6 hours),10800s (~3 hours)
0083,60893.04999999999,23400s (~6.5 hours),18000s (~5 hours),10800s (~3 hours)
0084,50357.45,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0085,40285.95,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0086,47863.2,21600s (~6 hours),21600s (~6 hours),3600s (~1 hours)
0087,45314.85,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0088,47184.05,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0089,59926.15,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
0090,46595.9,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0091,43653.2,28800s (~8 hours),23400s (~6.5 hours),3600s (~1 hours)
0092,44358.1,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0093,47801.2,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0094,59531.9,27000s (~7.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0095,44918.5,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
0096,59072.45,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0097,35299.65,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
0098,33953.9,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0099,64372.54999999999,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0100,55609.15,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
0101,41027.35,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0102,37791.9,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0103,36822.75,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0104,39446.8,23400s (~6.5 hours),21600s (~6 hours),3600s (~1 hours)
0105,52937.04999999999,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0106,55233.45,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0107,35241.3,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0108,47270.7,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0109,53705.85,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0110,39438.3,18000s (~5 hours),14400s (~4 hours),3600s (~1 hours)
0111,41631.25,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0112,43807.45,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0113,43347.15,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0114,49350.95,19800s (~5.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0115,66681.7,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
0116,52904.2,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0117,46720.7,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0118,48836.9,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0119,42437.3,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0120,45111.75,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0121,48144.4,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0122,42250.45,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0123,62785.25,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
0124,57480.9,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
0125,49277.35,28800s (~8 hours),18000s (~5 hours),7200s (~2 hours)
0126,55545.3,28800s (~8 hours),21600s (~6 hours),9000s (~2.5 hours)
0127,48338.29999999999,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0128,39854,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
0129,60778.55,28800s (~8 hours),25200s (~7 hours),7200s (~2 hours)
0130,35406,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0131,44240.6,27000s (~7.5 hours),18000s (~5 hours),7200s (~2 hours)
0132,49269.45,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0133,48209,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0134,46929.54999999999,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0135,39245.85,27000s (~7.5 hours),21600s (~6 hours),3600s (~1 hours)
0136,36687.4,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
0137,44783.8,16200s (~4.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0138,35404.15,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0139,59806.9,27000s (~7.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0140,40475.5,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0141,55706.2,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
0142,47875.2,23400s (~6.5 hours),18000s (~5 hours),3600s (~1 hours)
0143,45641.5,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0144,50271.79999999999,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0145,37184.45,23400s (~6.5 hours),18000s (~5 hours),3600s (~1 hours)
0146,50382.04999999999,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0147,31248.600000000006,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0148,41607.9,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
0149,46552.4,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0150,40032.1,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0151,44430.45,16200s (~4.5 hours),12600s (~3.5 hours),7200s (~2 hours)
0152,54720.6,19800s (~5.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0153,49393,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0154,49637.5,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0155,62125.4,28800s (~8 hours),21600s (~6 hours),7200s (~2 hours)
0156,47903.9,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
0157,52413.4,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0158,37358.5,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0159,44292.2,19800s (~5.5 hours),16200s (~4.5 hours),3600s (~1 hours)
0160,38963.7,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0161,37381.85,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0162,46069.15,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0163,40902.9,23400s (~6.5 hours),21600s (~6 hours),3600s (~1 hours)
0164,35918.55,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
0165,40267.65,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
