Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0079,140269.9,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0080,108531.85,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0081,109676.6,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0082,130612.4,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0083,118823.25,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0084,109968.5,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0085,100126.55,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0086,122269.2,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0087,132746,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0088,147946.8,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0089,118767.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0090,104471.15,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0091,114826.35,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0092,119096.2,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0093,142894,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0094,84150.35,39600s (~11 hours),39600s (~11 hours),12600s (~3.5 hours)
0095,115053.9,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0096,114561.65,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0097,127550.2,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0098,114122.95,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0099,94901.45,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0100,125621.45,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0101,130130.2,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0102,131973.45,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0103,133271.25,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0104,136796.7,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0105,101070.25,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0106,106558.45,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0107,138829.85,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0108,130931.84999999998,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0109,110054.7,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0110,115315.95,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0111,97773.7,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0112,128007.7,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0113,121783.65,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0114,116839.4,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0115,109822.15,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0116,114286.25,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0117,113341.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0118,131392.15,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0119,149319.25,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0120,117002.8,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0121,107090.6,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0122,113295,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0123,103193.45,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0124,117876.05,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0125,138382.05,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0126,111187,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0127,126156.95,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0128,117287.15,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0129,142480.65,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0130,116709.75,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0131,122881,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0132,129959.9,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0133,125621.25,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0134,148530.45,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0135,119075.05,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0136,112563.2,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0137,136179.75,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0138,140745.5,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0139,116149.65,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0140,108831.5,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0141,112688.1,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0142,98495.4,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0143,103844.05,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0144,118862.2,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0145,130691.84999999998,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0146,112553.5,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0147,113201.05,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0148,116859.6,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0149,105696.2,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0150,121970.7,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0151,111510.15,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0152,138795.2,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0153,154300.9,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0154,108935.75,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0155,132607.6,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0156,107364.5,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0157,95693.7,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0158,118823.95,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0159,119502.3,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0160,84904.25,39600s (~11 hours),39600s (~11 hours),14400s (~4 hours)
0161,128049.9,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0162,105352.3,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0163,133539.45,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0164,93496.3,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0165,113165.55,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0166,92739.25,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0167,144245.5,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0168,143898.75,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0169,112702.65,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0170,126421.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0171,137095.45,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0172,129475.05,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0173,89580.35,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0174,128019.45,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0175,128862.75,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0176,162005.45,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0177,130154,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0178,133253.2,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0179,116936.6,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0180,109964.35,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0181,115185.35,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0182,116394.8,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0183,121248.55,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0184,94587.95,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0185,133778.3,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0186,119714.7,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0187,145139.19999999998,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0188,121279.2,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0189,112713.05,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0190,113169.15,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0191,134133.5,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0192,131953.85,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0193,140386.5,39600s (~11 hours),39600s (~11 hours),34200s (~9.5 hours)
0194,143101.1,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0195,121478,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0196,117604.65,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0197,140931.35,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0198,119530.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0199,139298,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0200,143814.65,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0201,145777.8,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0202,111632.55,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0203,145571.4,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0204,104182.5,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0205,99827.8,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0206,122082.25,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0207,155505.25,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0208,134803.44999999998,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0209,123933.65,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0210,136999.7,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0211,117858.3,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0212,136201.9,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0213,123636.3,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0214,116461.75,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0215,126422.35,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0216,137176.1,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0217,103468.65,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0218,162199.75,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0219,105876.5,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0220,133008.95,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0221,104724.15,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0222,158266.75,39600s (~11 hours),39600s (~11 hours),36000s (~10 hours)
0223,111516.85,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0224,97868.45,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0225,94129.3,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0226,135897.1,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0227,125593.84999999998,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0228,104370.5,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0229,109220.8,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0230,132660.95,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0231,109743.75,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0232,132697.75,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0233,79687.65,39600s (~11 hours),39600s (~11 hours),14400s (~4 hours)
0234,114530.75,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
