Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00185,41273,23400,18000,7200
00186,44760.05,23400,18000,9000
00187,41025.75,25200,18000,9000
00188,63519.45,23400,23400,7200
00189,64079.9,27000,23400,9000
00190,51150.7,25200,21600,5400
00191,57879.6,27000,21600,5400
00192,41579.7,27000,19800,7200
00193,53668.7,25200,25200,7200
00194,49600.25,19800,14400,9000
00195,56461.5,25200,19800,9000
00196,47684.65,25200,21600,5400
00197,56419.25,25200,21600,9000
00198,34014,21600,16200,5400
00199,51881.95,25200,21600,9000
00200,54060.29999999999,23400,16200,9000
00201,47363.4,21600,14400,9000
00202,43063.9,25200,18000,9000
00203,51437,23400,14400,9000
00204,50523.55,27000,21600,9000
00205,51783.45,21600,16200,9000
00206,37591.35,21600,19800,3600
00207,41396.7,19800,16200,7200
00208,52873.04999999999,19800,16200,7200
00209,57252.29999999999,21600,14400,10800
00210,68223.35,30600,27000,7200
00211,46769.29999999999,21600,16200,5400
00212,53986.75,18000,16200,10800
00213,37407.8,23400,14400,5400
00214,39902.2,23400,18000,7200
00215,46549.9,21600,18000,7200
00216,39080.95,25200,19800,5400
00217,46411.7,19800,16200,9000
00218,52152.7,27000,19800,10800
00219,40632.9,21600,14400,7200
00220,38897.65,21600,18000,5400
00221,73773,19800,18000,10800
00222,35087.4,25200,21600,3600
00223,43069.3,21600,18000,9000
00224,57729.6,21600,16200,9000
00225,37521.8,21600,16200,7200
00226,76519.5,21600,19800,10800
00227,58056.9,27000,27000,9000
00228,47881,25200,21600,5400
00229,53540.2,21600,18000,7200
00230,42134.15,27000,19800,7200
00231,46927.65,23400,19800,5400
00232,60303.54999999999,25200,21600,9000
00233,64004.6,27000,23400,9000
00234,57985.79999999999,25200,21600,10800
00235,74144.2,25200,25200,14400
00236,66599.95,25200,23400,9000
00237,64521.9,28800,25200,12600
00238,29095.4,25200,18000,1800
00239,59310.35,19800,19800,9000
00240,32668.2,21600,16200,3600
00241,31461.4,25200,18000,5400
00242,46777.2,27000,19800,9000
00243,51276.45,19800,14400,7200
00244,36845.95,28800,19800,5400
00245,29385.899999999994,19800,16200,5400
00246,64657.85,21600,18000,12600
00247,37396.3,19800,16200,5400
00248,56937.9,16200,16200,9000
00249,69474.55,30600,23400,10800
00250,46654.75,25200,19800,7200
00251,32277.15,23400,19800,3600
00252,34472.85,27000,19800,1800
00253,43176.6,21600,18000,9000
00254,46046.75,23400,19800,5400
00255,45436.45,23400,19800,5400
00256,35437.35,30600,25200,3600
00257,35308.6,21600,18000,5400
00258,53523.2,25200,19800,10800
00259,42270.5,25200,19800,7200
00260,46916.15,25200,21600,7200
00261,57050.29999999999,21600,18000,9000
00262,58399.4,23400,21600,9000
00263,56688.25,28800,25200,7200
00264,51384.85,23400,18000,10800
00265,54883.4,28800,23400,7200
00266,60494,25200,21600,10800
00267,58374.25,23400,21600,9000
