Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00076,48973.75,28800s (~8 hours),27000s (~7.5 hours),5400s (~1.5 hours)
00077,54985.35,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00078,53294.25,23400s (~6.5 hours),14400s (~4 hours),9000s (~2.5 hours)
00079,66424.7,18000s (~5 hours),16200s (~4.5 hours),10800s (~3 hours)
00080,70312.65,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00081,35153.8,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00082,49981.6,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
00083,39982.79999999999,27000s (~7.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00084,48860.2,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
00085,47723.29999999999,28800s (~8 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00086,34327.55,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
00087,44822.7,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00088,40706.95,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00089,43225.2,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
00090,59999.85,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00091,61086.29999999999,30600s (~8.5 hours),28800s (~8 hours),7200s (~2 hours)
00092,37527.9,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00093,44717.4,19800s (~5.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00094,40204.9,23400s (~6.5 hours),14400s (~4 hours),7200s (~2 hours)
00095,33885.7,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00096,46522.85,27000s (~7.5 hours),25200s (~7 hours),5400s (~1.5 hours)
00097,42709.5,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00098,58706.1,27000s (~7.5 hours),21600s (~6 hours),10800s (~3 hours)
00099,44621.7,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00100,50798.8,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
00101,37367.2,23400s (~6.5 hours),18000s (~5 hours),3600s (~1 hours)
00102,53649,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00103,54769.25,28800s (~8 hours),23400s (~6.5 hours),3600s (~1 hours)
00104,58629.6,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00105,41304.85,28800s (~8 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00106,38518.55,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
00107,36609.25,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00108,34646.9,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00109,32673.5,19800s (~5.5 hours),12600s (~3.5 hours),7200s (~2 hours)
00110,37141.6,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00111,60162.54999999999,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
00112,35202.55,18000s (~5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00113,42661.5,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00114,45149.3,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00115,41833.7,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00116,34585.15,21600s (~6 hours),14400s (~4 hours),5400s (~1.5 hours)
00117,37783.85,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00118,41073.95000000001,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00119,41006.15,27000s (~7.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00120,55638.5,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00121,53006.54999999999,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00122,59009.65,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00123,53334.6,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
