Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0076,42607.6,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0077,64839.29999999999,21600s (~6 hours),19800s (~5.5 hours),10800s (~3 hours)
0078,29790,18000s (~5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0079,41583.8,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0080,39257.65,23400s (~6.5 hours),19800s (~5.5 hours),1800s (~30 minutes)
0081,51209.75,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0082,56197.9,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0083,37494.7,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0084,47540.7,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0085,63207.15,25200s (~7 hours),25200s (~7 hours),10800s (~3 hours)
0086,33202.35,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0087,63495.95,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0088,38563.85,23400s (~6.5 hours),21600s (~6 hours),3600s (~1 hours)
0089,69726.45,27000s (~7.5 hours),27000s (~7.5 hours),14400s (~4 hours)
0090,48775.6,25200s (~7 hours),16200s (~4.5 hours),7200s (~2 hours)
0091,43454,25200s (~7 hours),23400s (~6.5 hours),3600s (~1 hours)
0092,70298.95,28800s (~8 hours),27000s (~7.5 hours),9000s (~2.5 hours)
0093,63474.79999999999,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0094,41738.9,19800s (~5.5 hours),18000s (~5 hours),3600s (~1 hours)
0095,38312.7,12600s (~3.5 hours),9000s (~2.5 hours),7200s (~2 hours)
0096,49055.9,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
0097,30116.8,14400s (~4 hours),14400s (~4 hours),3600s (~1 hours)
0098,36681.1,23400s (~6.5 hours),14400s (~4 hours),3600s (~1 hours)
0099,74823.59999999998,25200s (~7 hours),23400s (~6.5 hours),12600s (~3.5 hours)
0100,47767.15,32400s (~9 hours),25200s (~7 hours),5400s (~1.5 hours)
0101,61395.95,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0102,39582.6,27000s (~7.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0103,56030.04999999999,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
0104,50722.15,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0105,43104.65,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0106,40920.15,25200s (~7 hours),23400s (~6.5 hours),3600s (~1 hours)
0107,37892,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0108,37013.6,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0109,45621.75,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0110,27994.45,18000s (~5 hours),10800s (~3 hours),3600s (~1 hours)
0111,24482.75,18000s (~5 hours),10800s (~3 hours),1800s (~30 minutes)
0112,40059.25,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0113,35017.05,18000s (~5 hours),14400s (~4 hours),5400s (~1.5 hours)
0114,55875.75,27000s (~7.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0115,21497.95,23400s (~6.5 hours),16200s (~4.5 hours),1800s (~30 minutes)
0116,65921.2,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
0117,39858,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
0118,56390.05,25200s (~7 hours),23400s (~6.5 hours),12600s (~3.5 hours)
0119,54976,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
0120,38283.45,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
0121,25545.899999999994,19800s (~5.5 hours),12600s (~3.5 hours),3600s (~1 hours)
0122,57189.15,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
0123,67439.55,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
0124,41689.55,27000s (~7.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0125,69868.7,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0126,23771.5,21600s (~6 hours),14400s (~4 hours),3600s (~1 hours)
0127,50468.04999999999,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0128,61298.45,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0129,33775.25,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
0130,49592.6,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0131,62149.65,28800s (~8 hours),21600s (~6 hours),9000s (~2.5 hours)
0132,31632.85,14400s (~4 hours),12600s (~3.5 hours),5400s (~1.5 hours)
0133,41566.05,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0134,24393.3,16200s (~4.5 hours),10800s (~3 hours),3600s (~1 hours)
